Name,Distance,Difficulty,isLoop,isPaved,isBiked,hasLakeView,color,PolyLineEncoded
Cedar Falls,0.5,0,0,0,0,0,lightseagreen,utspFryhdOq@WgAg@{AeAKKIq@MYOIOA]P_@?SEw@gAKUY_B?]CUMSGGaA]i@KMSCK?c@CSu@gAy@[oA?g@B_@Jc@XoBp@QAg@s@CKEq@@ST_@JI^CPEXUPGpAGNC~@Lx@TZDRHR@n@C^QL^JNz@b@N@b@Kv@i@
Sycamore,0.7,0,0,0,0,0,orange,{pspFtshdOVSHOTUh@_@NUj@[b@CPGNORa@dA{@PGHIP]VUFQHET@Dl@r@~@PJPDPCh@S\a@TOHCXBn@PNLFNBRHLCDKD]IQAk@B]ViAZU@QEYBUVa@\Wj@g@bBSb@Cl@g@Vu@t@QH[ASGa@a@eB}@MSWoA
Pine Loop/Cabin,0.8,0,1,0,0,0,green,ogrpFjtgdOEj@Qp@Sf@UjAJfAF\SxB?dAE^GX{@h@GXF\f@`ANTRFHHLl@IVUEg@[MAc@Xa@HOAKUQCU?SGQQO]Mc@DgAEUMQUDUQnAaH^Af@KPDPTDXDjADHf@p@ZPLLXd@
Mud Lick,1.3,1,0,0,0,1,brown,wappFfafdO?@{Av@eBTyBC}BB_AIeA@g@?w@?_AGc@F{@BuAIc@C{@@o@pAYl@S?Ub@Wd@Mv@S\UVq@Rk@NQCiAZKl@O\[JMLOp@CTFVNHd@Qj@Av@Of@IX[h@Ch@Ht@XPFTAb@?`@Yj@YLUDW^?~@Vl@?Nk@NW~AU^IjA^XLn@Cn@?XJNYBk@?_@Ek@Le@fABnAvCTZn@IT[Dw@B_A]iA@c@OiAQa@F]bBWl@]XMRM
West Shore,2.1,1,0,0,0,1,purple,_olpF`tedOgABqAKiC_AaBi@yAS}@l@{@lBoAdDs@nB_AfA{AbAsAd@qAv@a@rAo@dBcAvBy@tBk@pAi@|@w@~Be@dAo@|@wAz@o@x@mAbAy@h@aAj@_Bx@{@n@sAh@wAp@{Av@gBVgBv@gAn@]TuBh@wAf@y@nAeBvDk@Fs@DiAd@Kf@m@x@m@d@a@N]EmANi@BWJQb@s@nAy@tDVhABhAPj@OT[j@Sr@gAd@}@X]QgBDUR_@d@Sb@o@VS^
Sugar Bush,0.7,0,0,0,0,0,blueviolet,gkppF~eidOAAl@BJSFeAJqBHkATi@\]TCjA?B?D?D?t@?f@l@b@hAx@nAz@Tj@C^Of@F`Af@|@T}@UaAg@g@G_@Nk@B{@Uy@oAc@iAg@m@u@?E?E?C?kA?UB]\Uh@IjAKpBGdAKRm@C@@
Blue Heron,1.4,1,1,0,0,1,blue,ukppFp`idOAAdA`Ak@k@c@c@`@^Ef@PFFVCXAVHTRDLMAW?WCWBWHUFUBWA[CWFSDWDUJSPKNQNIPDPALOP@LOAWEWCUCUFWPGNQRAPAR@PBJQJUHS@UPKLMHU?WAYDU?C?[DUDWHSFYFUJSLMDWPKLOLMJQJQLOTCRER@P@PMLOHSRDRBPALOJQNQPGNMFUNKPJLLPDPHLPHTHRHPJRHRBXFV?XDVFVDTBVDTDVBV?\EZEVEVKROJOLOLKPOPKTGTIPKTCVEVAXEVIRIRGVITMRERGTKROPKNKPSDQDQCOMQASGOIGWIQQKOKGUKWQIMMMOCWKSOQKQEWMOOLQLIROJMPGTQJQFSBQES?QBQFS@QAS?QASBMLKPMLMNKPQFS?QCOKSBQAQCONQLOHJPPDV@LRLP
Big Woods,1.6,1,1,0,0,1,forestgreen,ckppFd~idO?Cf@AN?FG@K?K@MBKBKDKBIDK@K@KAM?KAMAOAICKAM?MAS?KBKHAH@FHBHBL?JDHF@H?FIHGFGDIDGHAH?F?H@FDFFFFHDFBHBFDHBHBHBH?F?FEDKFCH?FDHFFDFDFBHAHCFAHCFAHCHAH?H?H@H@FDDHDHBJBHDJH@F?HEHIBIDIDIBKBIBM?K?KAK?K@K@ET_@FIDGHCFEHAF?H@H@HDF@H?F?H@F?f@BH@FDLDJHHDDHDHDHDHDLDHBJFHFFHBF?L?HCHGFC?MEICIAKESCMAKCKCKEI?M?I?KBMBKDKFEFEDGDK@KBI@M@Q?K?K?K@YDK@MDOBIBK@KBO?KDa@?O?K?MGCI?G?I?GEICICK?I?I?OEGAICIEIEIAGCOEG?IAG?K?I?G?ICICIGGCk@[WMICGEGCICKGGAUCK?K?I?K@IBIDGBI@I?I?G?I?MEIEIEGGEGMOEGGKEKIQGMGIGOIMEIGIEEGICAk@i@]IMCI?K@I?UDIDIDIFIFEDKJGFGFEHABUfAAR?P?N?X?N?J?JALCVAJEHCJGJGFKJEHAJCJCJGLCJGFEFGFGFQNKHIDIFGBCBs@d@KFKDMDKDIBMFIDODKDIBOFGBGFGHKJGFEHGLCJALCf@ALANEPCLCLCTGLGPITIPEHEHGLEJGNEJEHENERCLAL?L?J?P?J?P?LBNFFFFLFLHVHHBLBJ?F?H@HAHILMFEJKHAJCHAHCFELMHKFIFIFEBK@MAUCK@KJIHEHAFGFMBIBQBY?MDFBHBP@V?N?L@ZBHDJHNHDH@LHFFFDF@H?F?H?H?FD?@
Hedge Apple,1.6,1,0,0,0,0,red,}wqpFh{jdOYu@@G?B_@Le@yBd@g@r@oACt@pA^rAPx@~C`@nBfAbAr@`A`@~@vAj@hBfAtBwBOq@?iCQcB^wG`AmBjBmCp@}Af@wBb@_Ah@Oi@Nc@~@g@vBq@|AkBlCaAlB_@vGPbB?hCNp@uBvBiBgAwAk@a@_As@aAgAcAa@oBy@_DsAQqA_@Bu@s@nAe@f@d@xB^M?CAFXt@
Indian Mound,1.2,1,1,0,0,0,olive,ohrpFl_mdO@COxAc@jBg@vBIfAfAuAt@LbBCdCB|AN~A_CvAkB_@cC_BU}BGmBr@o@_@GaBAiCHqBlA_B`AwBp@wBUs@\{@J}AQy@Uo@g@DB~A{@jDaBjD{@vBa@rCIhDu@FUpANl@x@X
